User,Text,Date,Favorites,Retweets,Mentions,HashTags
BarackObama,"Joe Biden has officially been sworn in for a second term. Congratulations, Mr. Vice President.",2013-01-20 13:46:22+00:00,4337,1961,,
BarackObama,Volunteers and staff are coming together today for the Obama campaign legacy conference—follow along here: http://OFA.BO/J1zmM3 #OFAlegacy,2013-01-20 14:41:23+00:00,410,242,,#OFAlegacy
BarackObama,President Obama has been sworn in for a second term as President of the United States.,2013-01-20 17:47:26+00:00,7357,3961,,
BarackObama,A look at the numbers with @jomalleydillon @MarlonDMarshall &amp; @Mitch_Stewart from the #OFALegacy conference: http://ofa.bo/109r37,2013-01-20 18:36:50+00:00,224,168,@jomalleydillon @MarlonDMarshall @Mitch_Stewart,#OFALegacy
BarackObama,"Meet @JonCarsonOFA, the Executive Director of Organizing for Action. He's putting you in charge: http://ofa.bo/m7C3B0 ",2013-01-20 20:18:56+00:00,275,220,@JonCarsonOFA,
BarackObama,"Happy Inauguration Day! Follow @obamainaugural today for news from on the ground in Washington, from the oath to the parade. #inaug2013",2013-01-21 13:32:19+00:00,2904,799,@obamainaugural,#inaug2013
BarackObama,I'm honored and grateful that we have a chance to finish what we started. Our work begins today. Let's go. -bo,2013-01-21 14:25:21+00:00,10719,4429,,
BarackObama,The sequence of events today: @VP takes oath at 11:45am ET; President takes oath at 11:55am ET and delivers inaugural address at noon ET.,2013-01-21 15:03:20+00:00,1153,326,@VP,
BarackObama,Watch a livestream of the second inauguration here starting at 11:30am ET: http://www.2013pic.org/live,2013-01-21 15:35:31+00:00,1217,423,,
BarackObama,Watch live: The second inauguration of President Obama. http://www.2013pic.org/live,2013-01-21 16:25:44+00:00,1419,429,,
BarackObama,Joe Biden has been sworn in for a second term as Vice President of the United States. #inaug2013,2013-01-21 16:50:16+00:00,1307,708,,#inaug2013
BarackObama,Barack Obama has been sworn in for a second term as President of the United States. #fourmoreyears,2013-01-21 16:52:28+00:00,8869,3107,,#fourmoreyears
BarackObama,"Each time we gather to inaugurate a president, we bear witness to the enduring strength of our Constitution. —President Obama",2013-01-21 16:54:29+00:00,2108,715,,
BarackObama,"We made ourselves anew, and vowed to move forward together. —President Obama",2013-01-21 16:56:22+00:00,1899,629,,
BarackObama,"Together, we resolved that a great nation must care for the vulnerable, and protect its people from life’s worst hazards and misfortune.",2013-01-21 16:56:51+00:00,1786,627,,
BarackObama,"We have always understood that when times change, so must we. —President Obama",2013-01-21 16:57:26+00:00,4495,1364,,
BarackObama,"Now, more than ever, we must do these things together, as one nation and one people. —President Obama",2013-01-21 16:58:24+00:00,2475,792,,
BarackObama,This generation of Americans has been tested by crises that steeled our resolve and proved our resilience. —President Obama,2013-01-21 16:58:34+00:00,976,383,,
BarackObama,A decade of war is now ending. An economic recovery has begun. —President Obama,2013-01-21 16:58:45+00:00,1792,689,,
BarackObama,"America’s possibilities are limitless, for we possess all the qualities that this world without boundaries demands. —President Obama",2013-01-21 16:59:01+00:00,1590,587,,
BarackObama,"We are made for this moment, and we will seize it—so long as we seize it together. —President Obama",2013-01-21 16:59:16+00:00,2754,996,,
BarackObama,"We, the people, understand that our country cannot succeed when a shrinking few do very well and a growing many barely make it.",2013-01-21 16:59:33+00:00,3644,1151,,
BarackObama,"We, the people, still believe that every citizen deserves a basic measure of security and dignity. —President Obama",2013-01-21 17:01:26+00:00,1828,705,,
BarackObama,"We do not believe that in this country, freedom is reserved for the lucky, or happiness for the few.",2013-01-21 17:01:50+00:00,3440,1157,,
BarackObama,"We, the people, still believe that our obligations as Americans are not just to ourselves, but to all posterity.",2013-01-21 17:02:43+00:00,1304,569,,
BarackObama,"We will respond to the threat of climate change, knowing that the failure to do so would betray our children and future generations.",2013-01-21 17:02:53+00:00,3526,1238,,
BarackObama,"We, the people, still believe that enduring security and lasting peace do not require perpetual war.",2013-01-21 17:04:09+00:00,2274,966,,
BarackObama,We will defend our people and uphold our values through strength of arms and rule of law. —President Obama,2013-01-21 17:05:04+00:00,1043,466,,
BarackObama,We will show the courage to try and resolve our differences with other nations peacefully.,2013-01-21 17:05:13+00:00,1432,625,,
BarackObama,"We, the people, declare today that the most evident of truths—that all of us are created equal—is the star that guides us still.",2013-01-21 17:06:27+00:00,4711,1524,,
BarackObama,"Our journey is not complete until our wives, our mothers, and daughters can earn a living equal to their efforts.",2013-01-21 17:07:18+00:00,10777,3548,,
BarackObama,Our journey is not complete until our gay brothers and sisters are treated like anyone else under the law.,2013-01-21 17:07:26+00:00,23975,9851,,
BarackObama,Our journey is not complete until no citizen is forced to wait for hours to exercise the right to vote.,2013-01-21 17:07:43+00:00,2086,866,,
BarackObama,Our journey is not complete until we find a better way to welcome the immigrants who still see America as a land of opportunity.,2013-01-21 17:08:01+00:00,5085,1895,,
BarackObama,"Our journey is not complete until all our children know that they are cared for, and cherished, and always safe from harm.",2013-01-21 17:08:24+00:00,6112,1904,,
BarackObama,"Decisions are upon us, and we cannot afford delay.",2013-01-21 17:09:37+00:00,1863,635,,
BarackObama,"We cannot mistake absolutism for principle, or substitute spectacle for politics, or treat name-calling as reasoned debate.",2013-01-21 17:09:43+00:00,2795,1061,,
BarackObama,"We must act, knowing that our work will be imperfect. —President Obama",2013-01-21 17:09:55+00:00,3995,1418,,
BarackObama,"You and I, as citizens, have the power to set this country’s course.",2013-01-21 17:11:06+00:00,2297,831,,
BarackObama,"You and I, as citizens, have the obligation to shape the debates of our time.",2013-01-21 17:11:14+00:00,1755,667,,
BarackObama,"Let us answer the call of history, and carry into an uncertain future that precious light of freedom. —President Obama",2013-01-21 17:11:48+00:00,3252,1138,,
BarackObama,"Thank you, God Bless you, and may He forever bless these United States of America.",2013-01-21 17:11:58+00:00,5318,2182,,
BarackObama,"Organizing for Action is the next step in our grassroots movement, crucial to finishing what we started. Be part of it: http://OFA.BO/Lk1pEf",2013-01-21 17:50:16+00:00,756,347,,
BarackObama,The full text of President Obama's second inaugural address: http://OFA.BO/Hq4o8f,2013-01-21 18:04:15+00:00,2118,1544,,
BarackObama,"""I want to look out one more time. I'll never see this again."" http://OFA.BO/qWUrWy",2013-01-21 18:16:14+00:00,3222,1989,,
BarackObama,You can watch President Obama's second inaugural address in full here: http://OFA.BO/erTacV,2013-01-21 18:56:12+00:00,1731,1413,,
BarackObama,"""Our journey is not complete."" —President Obama",2013-01-21 20:47:51+00:00,4272,3063,,
BarackObama,First dance.,2013-01-22 15:35:25+00:00,5772,6763,,
BarackObama,"""This party is just another way to say something we can never say enough: thank you."" —The President at last night's ball for servicemembers",2013-01-22 15:53:52+00:00,815,524,,
BarackObama,"""You and I, as citizens, have the power to set this country's course."" http://OFA.BO/zTZCF9",2013-01-22 17:03:50+00:00,970,561,,
BarackObama,"""I want to take a look one more time. I'm not going to see this again.""—The President pausing at the Capitol yesterday",2013-01-22 19:30:35+00:00,2850,2993,,
BarackObama,Join Vice President Biden for a conversation on gun violence today at 1:45 pm ET: http://OFA.BO/CgSgo9,2013-01-24 15:27:13+00:00,464,279,,
BarackObama,The President's view on Monday:,2013-01-24 17:23:29+00:00,1434,1532,,
BarackObama,Each one of us needs to speak up and demand action on gun violence. Here's how you can help right now: http://OFA.BO/ToNN67,2013-01-25 15:24:36+00:00,1285,494,,
BarackObama,RT if you support President Obama's plan to reduce gun violence: http://OFA.BO/DKCULp,2013-01-25 16:14:55+00:00,7702,738,,
BarackObama,Make sure your senators know you support the President's plan to reduce gun violence—call them now: http://OFA.BO/UuZMJ9,2013-01-25 18:13:42+00:00,784,333,,
BarackObama,Does your representative know that you want action on gun violence? Call your rep now: http://OFA.BO/sSVh5M,2013-01-25 20:22:03+00:00,502,255,,
BarackObama,Let your friends and family know what the President and Vice President are doing to reduce gun violence: http://OFA.BO/oVJWhD,2013-01-25 21:27:06+00:00,962,451,,
BarackObama,President Obama nominates Mary Jo White to lead the SEC and Richard Cordray to lead the @CFPB: http://OFA.BO/Kw2qfp,2013-01-27 16:31:45+00:00,337,210,@CFPB,
BarackObama,Photo of the day: Bo in the snow.,2013-01-27 17:39:59+00:00,3336,4322,,
BarackObama,President Obama on International Holocaust Remembrance Day: http://OFA.BO/DCL4a6,2013-01-27 23:44:06+00:00,817,374,,
BarackObama,"""If, like me, you want this time to be different, then I need your help to make it different."" http://OFA.BO/m9hb98 #NowIsTheTime",2013-01-28 19:15:17+00:00,970,446,,#NowIsTheTime
BarackObama,"Does your representative support President Obama's plan to reduce gun violence? Call & ask now: http://OFA.BO/KL6Kab,",2013-01-28 19:19:28+00:00,1036,548,,
BarackObama,President Obama signed his first bill into law four years ago today: The Lilly Ledbetter Fair Pay Act. http://OFA.BO/V1VaEz,2013-01-29 16:06:51+00:00,553,284,,
BarackObama,Here's Lilly Ledbetter on why she took up the fight for fair pay: http://OFA.BO/Ez4MkP,2013-01-29 16:08:50+00:00,305,205,,
BarackObama,President Obama will speak on the need to fix our broken immigration system today at 2:55pm ET. Watch live here: http://wh.gov/live,2013-01-29 17:01:44+00:00,662,305,,
BarackObama,Watch live: President Obama speaks on the need for comprehensive immigration reform. http://wh.gov/live #immigrationreform,2013-01-29 19:49:09+00:00,315,176,,#immigrationreform
BarackObama,"""I’m here today because the time has come for common-sense, comprehensive immigration reform."" —President Obama #immigrationreform",2013-01-29 19:50:38+00:00,1011,403,,#immigrationreform
BarackObama,"""We define ourselves as a nation of immigrants."" —President Obama",2013-01-29 19:51:41+00:00,1948,729,,
BarackObama,"""We have to make sure that every business & every worker in America is playing by the same set of rules.""—President Obama #immigrationreform",2013-01-29 19:54:04+00:00,667,300,,#immigrationreform
BarackObama,"""For the first time in many years, Republicans & Democrats seem ready to tackle this problem together.""",2013-01-29 19:55:14+00:00,676,335,,
BarackObama,"""To help move this process along, today I’m laying out my ideas for immigration reform."" —President Obama",2013-01-29 19:57:07+00:00,447,237,,
BarackObama,"""First, I believe we need to stay focused on enforcement."" —President Obama #immigrationreform",2013-01-29 19:57:36+00:00,442,207,,#immigrationreform
BarackObama,"""Second, we have to deal with the 11 million individuals who are here illegally."" —President Obama #immigrationreform",2013-01-29 19:57:55+00:00,607,276,,#immigrationreform
BarackObama,"""Third, we have to bring our legal immigration system into the 21st century, because it no longer reflects the realities of our time.""",2013-01-29 19:58:37+00:00,889,414,,
BarackObama,"""I believe we're finally at a moment when comprehensive immigration reform is within our grasp."" —President Obama",2013-01-29 19:59:50+00:00,854,359,,
BarackObama,"""A lot of folks forget that most of ‘us’ used to be ‘them.’"" —President Obama",2013-01-29 20:01:12+00:00,4042,1412,,
BarackObama,"""What makes someone American is not just blood or birth, but allegiance to our founding principles."" —President Obama",2013-01-29 20:02:38+00:00,2470,992,,
BarackObama,"""This is not just a debate about policy. It's about people."" —President Obama #immigrationreform",2013-01-29 20:05:39+00:00,1983,743,,#immigrationreform
BarackObama,RT if you agree: We need an immigration system that honors our heritage as a nation of laws & a nation of immigrants.,2013-01-29 20:23:29+00:00,5728,1397,,
BarackObama,How we can fix our broken immigration system so everyone plays by the rules: http://OFA.BO/JLgPvY,2013-01-29 21:45:15+00:00,723,340,,
BarackObama,The President outlined a plan for common-sense immigration reform yesterday—watch here: http://OFA.BO/UGb44o,2013-01-30 16:15:09+00:00,478,323,,
BarackObama,We are a nation of immigrants.,2013-01-30 17:54:47+00:00,6333,3508,,
BarackObama,"""Be courageous. Americans are counting on you."" — @GabbyGiffords urging the Senate today to take action on gun violence",2013-01-30 23:46:11+00:00,1522,742,@GabbyGiffords,
BarackObama,How to fix a broken immigration system so everyone plays by the rules: http://OFA.BO/v4babR,2013-01-31 18:15:43+00:00,438,259,,
BarackObama,"""In no other nation on Earth could my story even be possible.""",2013-01-31 18:32:40+00:00,3182,2591,,
BarackObama,There's nothing we can't do. http://OFA.BO/9DuyKu,2013-01-31 21:49:10+00:00,918,481,,
BarackObama,"If you missed it, watch yesterday's @WhiteHouse #FiresideHangout with Cecilia Muñoz on #ImmigrationReform. http://OFA.BO/kKn7L7",2013-02-01 17:12:52+00:00,255,185,@WhiteHouse,#FiresideHangout #ImmigrationReform
BarackObama,RT this link so your friends know President Obama's plan to fix our broken immigration system. http://OFA.BO/E4y1QW #ImmigrationReform,2013-02-01 19:22:54+00:00,1215,289,,#ImmigrationReform
BarackObama,"Good news: Our economy added 166,000 private-sector jobs in January, for the 35th straight month of growth.",2013-02-01 23:03:38+00:00,1644,726,,
BarackObama,"“Everyone in Washington needs to focus not on politics, but on what’s right for the country—on what’s right for you.” http://OFA.BO/daZF29",2013-02-02 17:38:17+00:00,1141,554,,
BarackObama,Game day.,2013-02-03 16:15:23+00:00,23969,14838,,
BarackObama,“Her defiance spurred a movement that advanced our journey toward justice and equality for all.” —Obama on Rosa Parks: http://OFA.BO/URbra7,2013-02-04 16:31:16+00:00,995,439,,
BarackObama,Worth a read and a RT: President Obama’s plan to reduce gun violence. http://OFA.BO/nRj7Vu #NowIsTheTime,2013-02-04 18:30:52+00:00,838,303,,#NowIsTheTime
BarackObama,Watch live: President Obama speaks in Minneapolis about his plan to reduce gun violence. http://wh.gov/live #NowIsTheTime,2013-02-04 19:46:14+00:00,318,172,,#NowIsTheTime
BarackObama,"President Obama: ""If there’s even one thing we can do, if there’s just one life we can save—we've got an obligation to try.” #NowIsTheTime",2013-02-04 19:54:47+00:00,1266,452,,#NowIsTheTime
BarackObama,"President Obama: ""The vast majority of Americans, including a majority of gun owners, support requiring criminal background checks.""",2013-02-04 19:56:25+00:00,622,294,,
BarackObama,"""We shouldn't stop there. We should restore the ban on military-style assault weapons and a 10-round limit for magazines.""—President Obama",2013-02-04 19:59:56+00:00,827,393,,
BarackObama,"President Obama: ""#NowIsTheTime for action. We’re not going to wait for the next Newtown, or the next Aurora.”",2013-02-04 20:08:20+00:00,915,361,,#NowIsTheTime
BarackObama,"President Obama: ""It may not be the perfect solution. We may not save every life. But we can make a difference."" #NowIsTheTime",2013-02-04 20:15:42+00:00,1563,650,,#NowIsTheTime
BarackObama,"“We have an obligation to try."" http://OFA.BO/5sPDg4,",2013-02-05 00:51:10+00:00,1538,995,,
BarackObama,High five.,2013-02-05 15:59:30+00:00,1902,1807,,
BarackObama,"President Obama: ""Economists and business leaders from across the spectrum have said that our economy is poised for progress in 2013.""",2013-02-05 18:21:49+00:00,538,183,,
BarackObama,"""While it’s critical to keep cutting wasteful spending, we can’t just cut our way to prosperity."" —President Obama",2013-02-05 18:23:59+00:00,681,257,,
BarackObama,"President Obama: ""Cuts to things like education and training; energy and national security; will cost us jobs, and slow down our recovery.""",2013-02-05 18:26:21+00:00,754,287,,
BarackObama,"""We can finish the job with a balanced mix of spending cuts and more tax reform.""—President Obama on reducing the deficit",2013-02-05 18:31:42+00:00,424,187,,
BarackObama,RT this so your friends know President Obama’s balanced plan to reduce our deficit and grow the economy. http://OFA.BO/wuH5dV,2013-02-05 19:10:47+00:00,1192,266,,
BarackObama,"Help President Obama fight for middle-class families by signing up for Organizing for Action: http://OFA.BO/GE31gA,",2013-02-06 18:33:11+00:00,630,426,,
BarackObama,"President Obama, your neighbors, and you. Host a State of the Union watch party with supporters in your community: http://OFA.BO/hRF3V1",2013-02-06 21:54:42+00:00,273,184,,
BarackObama,“Now it’s time to finish what we started. Let’s get going.” http://OFA.BO/QFBNQq,2013-02-07 00:01:26+00:00,655,349,,
BarackObama,"We are more alike than we are different: http://OFA.BO/Uut1F2,",2013-02-07 01:02:35+00:00,2593,1531,,
BarackObama,"Meet President Obama’s pick to lead the Department of the @Interior: REI CEO Sally Jewell. http://OFA.BO/ruUC8k,",2013-02-07 14:58:50+00:00,491,362,@Interior,
